,Brand Name,Size,Brand Size
612,Fame Forever By Lifestyle,40.0,S
613,Fame Forever By Lifestyle,42.0,M
614,Fame Forever By Lifestyle,44.0,L
615,Fame Forever By Lifestyle,46.0,XL
616,Fame Forever By Lifestyle,48.0,XXL
617,Forca,38.0,XS
618,Forca,39.0,S
619,Forca,40.0,M
620,Forca,42.0,L
621,Forca,44.0,XL
622,Forca,46.0,XXL
623,Fashion Fricks,38.0,M
624,Fashion Fricks,40.0,L
625,Fashion Fricks,42.0,XL
626,French Connection,38.0,S
627,French Connection,40.0,M
628,French Connection,42.0,L
629,French Connection,44.0,XL
630,French Connection,46.0,XXL
631,Fubar,38.0,M
632,Fubar,40.0,L
633,Fubar,42.0,XL
634,Forcaz By Decathlon,38.0,S
635,Forcaz By Decathlon,40.0,M
636,Forcaz By Decathlon,42.0,L
637,Forcaz By Decathlon,44.0, XL
638,Forcaz By Decathlon,46.0, XXL
639,Finnoy,38.0,S
640,Finnoy,40.0,M
641,Finnoy,42.0,L
642,Finnoy,44.0,XL
643,Finnoy,46.0,XXL
644,FreeSoul,38.0,S
645,FreeSoul,40.0,M
646,FreeSoul,42.0,L
647,FreeSoul,44.0,XL
648,Fabindia,39.0,XS
649,Fabindia,40.0,S
650,Fabindia,42.0,M
651,Fabindia,44.0,L
652,Fabindia,46.0,XL
653,Firangi Yarn,38.0,S
654,Firangi Yarn,40.0,M
655,Firangi Yarn,42.0,L
656,Firangi Yarn,44.0,XL
657,Forca By Lifestyle,38.0,XS
658,Forca By Lifestyle,39.0,S
659,Forca By Lifestyle,40.0,M
660,Forca By Lifestyle,42.0,L
661,Forca By Lifestyle,44.0,XL
662,Forca By Lifestyle,46.0,XXL
663,Foga,38.0,S
664,Foga,40.0,M
665,Foga,42.0,L
666,Foga,44.0,XL
667,Foga,46.0,XXL
668,French Crown,38.0,XS
669,French Crown,39.0,S
670,French Crown,40.0,M
671,French Crown,42.0,L
672,French Crown,44.0,XL
673,French Crown,46.0,XXL
674,Four One Oh,39.0, S
675,Four One Oh,40.0, M
676,Four One Oh,42.0, L
677,Four One Oh,44.0, XL
678,Fugazze,38.0,S
679,Fugazze,40.0,M
680,Fugazze,42.0,L
681,Fugazze,44.0,XL
682,Fugazze,46.0,XXL
683,GreenFibre,38.0, XS
684,GreenFibre,39.0,S
685,GreenFibre,40.0,M
686,GreenFibre,42.0,L
687,GreenFibre,44.0,XL
688,Globus,38.0,S
689,Globus,40.0,M
690,Globus,42.0,L
691,Globus,44.0, XL
692,Globus,46.0,XXL
693,Gant,36.0,S
694,Gant,38.0,M
695,Gant,40.0,L
696,Gant,42.0,XL
697,Gant,44.0,XXL
698,Gespo,36.0,S
699,Gespo,38.0,M
700,Gespo,40.0,L
701,Gespo,42.0,XL
702,Gristones,38.0,S
703,Gristones,40.0,M
